site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_sim_site,nearest_volt,power_pool,US_region,automated_error
10350,44.8,-93.6,GIC,measured,NERC,"high cadence, missing periods of data",0.9811921599604532,-0.0082459306037645,53.270871439606026,-25.107712191220863,0.4576708307451047,,,MISO,Central,Baseline offset detected (median value: 2.0 A)
10351,44.8,-93.6,GIC,measured,NERC,"noisy, missing periods of data",0.9811921599604532,-0.0082459306037645,53.270871439606026,-25.107712191220863,0.4576708307451047,,,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10352,44.8,-93.6,GIC,measured,NERC,"noisy, missing periods of data",0.9811921599604532,-0.0082459306037645,53.270871439606026,-25.107712191220863,0.4576708307451047,,,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10353,45.4,-93.9,GIC,measured,NERC,high cadence,1.0959693941101911,0.0397984262700192,53.84753594710237,-25.56040033178962,0.4890509292840444,,345.0,MISO,Central,Baseline offset detected (median value: 1.1 A)
10354,45.9,-91.5,GIC,measured,NERC,"high cadence, missing periods of data",1.077550657076097,0.0324376960684848,54.502393090126,-22.78649855117776,0.5273029311781863,,,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10355,44.2,-94.0,GIC,measured,NERC,"high cadence, noisy",1.3178553957476833,0.1198677590636158,52.64631424956334,-25.483795624409485,0.4259517763050516,,345.0,MISO,Central,Unphysical spike detected (max diff: 40.85 A)
10356,44.2,-94.0,GIC,measured,NERC,"high cadence, noisy",1.3178553957476833,0.1198677590636158,52.64631424956334,-25.483795624409485,0.4259517763050516,,345.0,MISO,Central,Cadence is >= 60 seconds (60.0 seconds)
10357,47.7,-117.5,GIC,measured,NERC,very noisy,0.6980376656756322,-0.15612114248609,53.74261512984575,-53.380857906845904,0.4831855493042793,,115.0,NorthernGridConnected,West,
10358,38.7,-121.2,GIC,measured,NERC,"not smooth, missing periods of data",0.5169217895347824,-0.2865751608575163,44.40760164597002,-54.97360854497661,0.1651533092179808,,,NotOrder1000,West,Cadence is >= 60 seconds (60.0 seconds)
10389,38.3,-87.4,GIC,measured,NERC,"not smooth, missing periods of data",0.5245947440295479,-0.2801760649664037,47.14598720768882,-17.088985741653435,0.2262834753275348,,,MISO,Central,Data is constant for at least 5 minutes starting at time 2024-05-10 00:00:00
10397,39.1,-78.3,GIC,measured,NERC,some peaks,2.0731811017327963,0.3166372413354602,48.24355164286734,-6.592681142940579,0.2567257614077857,,,PJM,East,
10398,41.1,-74.2,GIC,measured,NERC,noisy,2.4943337505101617,0.396954563139045,50.29151607419289,-1.8332944697645088,0.3249022437207283,,,NYISO,East,Baseline offset detected (median value: 15.5 A)
