site_id,geo_lat,geo_lon,data_type,data_class,data_source,error,interpolated_beta,power_pool,US_region,nearest_sim_site
10195,39.7,-74.9,GIC,measured,NERC,,2.354882212141629,PJM,East,
10196,33.3,-111.9,GIC,measured,NERC,"noisy, low values",0.59432779565099,WestConnectNonEnrolled,West,
10197,36.4,-82.2,GIC,measured,NERC,,1.4198283724986611,SERTP,East,
10199,35.0,-84.9,GIC,measured,NERC,noisy,1.1069538243316337,SERTP,East,
10200,34.1,-86.7,GIC,measured,NERC,,1.2489859812121804,SERTP,East,
10201,36.5,-87.2,GIC,measured,NERC,,1.049994166488022,SERTP,East,
10202,34.9,-90.0,GIC,measured,NERC,noisy,0.6097493392599633,MISO,Central,
10203,35.0,-85.3,GIC,measured,NERC,,0.996526544232336,SERTP,East,
10204,35.3,-89.8,GIC,measured,NERC,,0.6301141833833783,SERTP,East,
10205,36.2,-88.8,GIC,measured,NERC,"noisy, missing periods of data",0.8956529666713062,SERTP,East,
10207,36.0,-84.1,GIC,measured,NERC,,0.5592615251552008,SERTP,East,
10208,35.8,-86.5,GIC,measured,NERC,,0.7257450701500456,SERTP,East,
10209,34.8,-85.7,GIC,measured,NERC,"one big peak, otherwise fine",0.8374007929076037,SERTP,East,
10211,34.3,-88.8,GIC,measured,NERC,low cadence,0.6415197941404186,SERTP,East,
10212,36.0,-86.6,GIC,measured,NERC,,0.7824508982511382,SERTP,East,
10219,36.1,-81.0,GIC,measured,NERC,"noisy, low values",2.7564328346317017,SERTP,East,
10220,39.4,-87.4,GIC,measured,NERC,,0.4903456338448295,MISO,Central,
10248,32.8,-80.6,GIC,measured,NERC,"not smooth, low values",0.901094778523134,SCRTP,East,
10249,33.3,-81.0,GIC,measured,NERC,,1.238758315244013,SCRTP,East,
10250,34.1,-80.9,GIC,measured,NERC,,1.9961869176524896,SCRTP,East,
10251,35.9,-82.3,GIC,measured,NERC,"noisy, low values",1.72529499839907,SERTP,East,
10252,36.4,-79.0,GIC,measured,NERC,"not smooth, low values",2.6171669225579013,SERTP,East,
10287,41.9,-91.7,GIC,measured,NERC,missing periods of data,1.5868828748541342,MISO,Central,
10290,39.5,-97.5,GIC,measured,NERC,low cadence,0.5704253439037746,SPP,Central,
10325,29.8,-95.2,GIC,measured,NERC,"noisy, low values",0.0668729584706316,ERCOT,ERCOT,
10367,42.4,-71.8,GIC,measured,NERC,not centered on zero,2.3406874307614425,ISONE,East,
10368,42.4,-71.8,GIC,measured,NERC,not centered on zero,2.3406874307614425,ISONE,East,
10369,42.4,-71.8,GIC,measured,NERC,not centered on zero,2.3406874307614425,ISONE,East,
10372,42.4,-71.8,GIC,measured,NERC,not centered on zero,2.3406874307614425,ISONE,East,
10373,42.6,-73.9,GIC,measured,NERC,not centered on zero,2.1945295536401264,NYISO,East,
10374,42.6,-71.5,GIC,measured,NERC,no data available,2.6652790154959165,ISONE,East,
10376,40.9,-73.9,GIC,measured,NERC,very noisy,2.403237240915885,NYISO,East,
10377,40.7,-74.0,GIC,measured,NERC,very noisy,2.553542949086076,NYISO,East,
10378,40.7,-74.0,GIC,measured,NERC,not centered on zero,2.553542949086076,NYISO,East,
10379,40.7,-74.0,GIC,measured,NERC,not centered on zero,2.553542949086076,NYISO,East,
10380,41.1,-73.8,GIC,measured,NERC,very noisy,2.252931532745684,NYISO,East,
10381,40.7,-74.0,GIC,measured,NERC,not centered on zero,2.553542949086076,NYISO,East,
10382,40.6,-74.2,GIC,measured,NERC,not centered on zero,2.719221634832854,PJM,East,
