site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region
CHI line,40.167025333333335,-3.4283451666666664,DMM,measured,Marsal,2024-03-24,,,,42.849480779653774,77.03418161794868,0.13806026457634654,,,
CHI ref,40.169217,-3.4229776666666667,DMM,measured,Marsal,2024-03-24,,,,42.850789928118694,77.04026830256922,0.13808105140015217,,,
CUL line,40.30739616666666,-0.1113748333333333,DMM,measured,Marsal,2024-03-24,,,,42.46671616963293,80.44311998889218,0.13211494769372775,,,
CUL ref,40.30804633333333,-0.108697,DMM,measured,Marsal,2024-03-24,,,,42.46693000419895,80.44601068434741,0.1321181965690621,,,
MNR line,39.90542883333333,4.1837785,DMM,measured,Marsal,2024-03-24,,,,41.39257663058809,84.65111641471691,0.11676300853900283,,,
MNR ref,39.903235333333335,4.181145666666667,DMM,measured,Marsal,2024-03-24,,,,41.390850085837755,84.64787600920585,0.11673982723609953,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2024-03-24,,,,43.77007841716741,82.35105381476025,0.1534782737580654,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2024-03-24,,,,43.77139214736391,82.35353071958048,0.1535014628496287,,,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal,2024-03-24,,,,42.621314007258356,80.88369063448448,0.13448479049615789,,,
TRA ref,40.527670666666666,0.2610621666666666,DMM,measured,Marsal,2024-03-24,,,,42.62343949056024,80.8815995784594,0.1345176667092741,,,
