site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error
10369,42.4,-71.8,GIC,measured,NERC,2021-05-12,
10370,42.4,-71.8,GIC,measured,NERC,2021-05-12,
10371,42.4,-71.8,GIC,measured,NERC,2021-05-12,
10372,42.4,-71.8,GIC,measured,NERC,2021-05-12,
10373,42.6,-73.9,GIC,measured,NERC,2021-05-12,
10376,40.9,-73.9,GIC,measured,NERC,2021-05-12,
10377,40.7,-74.0,GIC,measured,NERC,2021-05-12,
10378,40.7,-74.0,GIC,measured,NERC,2021-05-12,
10379,40.7,-74.0,GIC,measured,NERC,2021-05-12,
10380,41.1,-73.8,GIC,measured,NERC,2021-05-12,
10381,40.7,-74.0,GIC,measured,NERC,2021-05-12,
10382,40.6,-74.2,GIC,measured,NERC,2021-05-12,
10383,40.6,-74.2,GIC,measured,NERC,2021-05-12,
10384,40.7,-74.0,GIC,measured,NERC,2021-05-12,
10386,40.8,-73.9,GIC,measured,NERC,2021-05-12,
10387,41.0,-73.9,GIC,measured,NERC,2021-05-12,
10388,41.0,-73.9,GIC,measured,NERC,2021-05-12,
10430,39.6,-75.6,GIC,measured,NERC,2021-05-12,
10431,39.6,-75.7,GIC,measured,NERC,2021-05-12,
10432,38.5,-76.6,GIC,measured,NERC,2021-05-12,
10433,38.5,-76.6,GIC,measured,NERC,2021-05-12,
10434,39.5,-75.1,GIC,measured,NERC,2021-05-12,
10435,39.4,-74.6,GIC,measured,NERC,2021-05-12,
10436,39.4,-74.6,GIC,measured,NERC,2021-05-12,
10456,38.2,-82.6,GIC,measured,NERC,2021-05-12,
10457,38.2,-82.6,GIC,measured,NERC,2021-05-12,
10458,42.2,-86.3,GIC,measured,NERC,2021-05-12,
10460,28.9,-96.2,GIC,measured,NERC,2021-05-12,
10461,32.2,-100.0,GIC,measured,NERC,2021-05-12,
10463,35.4,-99.7,GIC,measured,NERC,2021-05-12,
10464,35.4,-99.7,GIC,measured,NERC,2021-05-12,
10465,37.4,-79.9,GIC,measured,NERC,2021-05-12,
10467,37.4,-79.9,GIC,measured,NERC,2021-05-12,
10468,37.4,-79.9,GIC,measured,NERC,2021-05-12,
10469,37.4,-79.9,GIC,measured,NERC,2021-05-12,
10470,37.4,-79.9,GIC,measured,NERC,2021-05-12,
10471,37.4,-79.9,GIC,measured,NERC,2021-05-12,
10472,40.0,-83.2,GIC,measured,NERC,2021-05-12,
10473,28.7,-97.2,GIC,measured,NERC,2021-05-12,
10474,28.7,-97.2,GIC,measured,NERC,2021-05-12,
10475,40.2,-81.9,GIC,measured,NERC,2021-05-12,
10478,42.0,-86.6,GIC,measured,NERC,2021-05-12,
10483,39.0,-83.0,GIC,measured,NERC,2021-05-12,
10484,39.0,-83.0,GIC,measured,NERC,2021-05-12,
10485,39.0,-83.0,GIC,measured,NERC,2021-05-12,
10487,41.5,-86.4,GIC,measured,NERC,2021-05-12,
10491,40.8,-84.0,GIC,measured,NERC,2021-05-12,
10492,40.8,-84.0,GIC,measured,NERC,2021-05-12,
10493,36.7,-79.9,GIC,measured,NERC,2021-05-12,
10494,36.7,-79.9,GIC,measured,NERC,2021-05-12,
10495,36.7,-79.9,GIC,measured,NERC,2021-05-12,
10496,36.3,-94.5,GIC,measured,NERC,2021-05-12,
10497,40.5,-84.1,GIC,measured,NERC,2021-05-12,
10498,40.2,-83.1,GIC,measured,NERC,2021-05-12,
10499,40.2,-83.1,GIC,measured,NERC,2021-05-12,
10502,36.9,-80.8,GIC,measured,NERC,2021-05-12,
10506,38.7,-85.4,GIC,measured,NERC,2021-05-12,
10507,40.1,-82.7,GIC,measured,NERC,2021-05-12,
10509,39.8,-80.8,GIC,measured,NERC,2021-05-12,
10510,38.2,-81.4,GIC,measured,NERC,2021-05-12,
10512,40.0,-82.6,GIC,measured,NERC,2021-05-12,
10513,26.1,-97.6,GIC,measured,NERC,2021-05-12,
10515,26.1,-97.6,GIC,measured,NERC,2021-05-12,
10516,39.6,-81.2,GIC,measured,NERC,2021-05-12,
10518,27.6,-99.3,GIC,measured,NERC,2021-05-12,
10519,27.8,-97.6,GIC,measured,NERC,2021-05-12,
10520,27.8,-97.6,GIC,measured,NERC,2021-05-12,
10521,31.3,-103.1,GIC,measured,NERC,2021-05-12,
10524,40.2,-83.0,GIC,measured,NERC,2021-05-12,
10525,40.2,-83.0,GIC,measured,NERC,2021-05-12,
10528,37.2,-80.2,GIC,measured,NERC,2021-05-12,
10529,37.2,-80.2,GIC,measured,NERC,2021-05-12,
10530,39.0,-81.9,GIC,measured,NERC,2021-05-12,
10531,32.5,-99.8,GIC,measured,NERC,2021-05-12,
10532,32.5,-99.8,GIC,measured,NERC,2021-05-12,
10534,36.6,-82.7,GIC,measured,NERC,2021-05-12,
10537,27.6,-97.7,GIC,measured,NERC,2021-05-12,
10538,26.3,-98.2,GIC,measured,NERC,2021-05-12,
10539,26.3,-98.2,GIC,measured,NERC,2021-05-12,
10542,36.0,-95.7,GIC,measured,NERC,2021-05-12,
10543,36.0,-95.7,GIC,measured,NERC,2021-05-12,
10545,37.4,-79.1,GIC,measured,NERC,2021-05-12,
10546,37.4,-79.1,GIC,measured,NERC,2021-05-12,
10547,37.4,-79.1,GIC,measured,NERC,2021-05-12,
10548,26.2,-98.2,GIC,measured,NERC,2021-05-12,
10549,26.2,-98.2,GIC,measured,NERC,2021-05-12,
10550,26.3,-97.6,GIC,measured,NERC,2021-05-12,
10551,26.3,-97.6,GIC,measured,NERC,2021-05-12,
10552,40.0,-83.1,GIC,measured,NERC,2021-05-12,
10553,40.0,-83.1,GIC,measured,NERC,2021-05-12,
10556,31.5,-100.3,GIC,measured,NERC,2021-05-12,
10557,31.5,-100.3,GIC,measured,NERC,2021-05-12,
10561,41.0,-83.3,GIC,measured,NERC,2021-05-12,
10563,40.7,-81.4,GIC,measured,NERC,2021-05-12,
10564,40.7,-84.2,GIC,measured,NERC,2021-05-12,
10567,39.2,-87.5,GIC,measured,NERC,2021-05-12,
10568,39.2,-87.5,GIC,measured,NERC,2021-05-12,
10569,39.2,-87.5,GIC,measured,NERC,2021-05-12,
10570,40.2,-80.7,GIC,measured,NERC,2021-05-12,
10571,40.2,-80.7,GIC,measured,NERC,2021-05-12,
10573,38.4,-82.5,GIC,measured,NERC,2021-05-12,
10574,38.4,-82.5,GIC,measured,NERC,2021-05-12,
10575,41.7,-86.1,GIC,measured,NERC,2021-05-12,
10576,41.7,-86.1,GIC,measured,NERC,2021-05-12,
10581,32.8,-94.5,GIC,measured,NERC,2021-05-12,
50100,30.4,-89.6,B,measured,NERC,2021-05-12,
50078,34.5,-118.1,B,measured,NERC,2021-05-12,
50112,48.3,-117.1,B,measured,NERC,2021-05-12,
50129,40.3,-83.4,B,measured,NERC,2021-05-12,
50130,40.2,-82.8,B,measured,NERC,2021-05-12,
50102,42.1,-72.5,B,measured,NERC,2021-05-12,
50103,33.3,-89.2,B,measured,NERC,2021-05-12,
50105,34.7,-87.8,B,measured,NERC,2021-05-12,
50106,36.3,-86.4,B,measured,NERC,2021-05-12,
50109,35.6,-84.7,B,measured,NERC,2021-05-12,
50115,41.3,-90.5,B,measured,NERC,2021-05-12,
50116,37.2,-86.9,B,measured,NERC,2021-05-12,
50119,35.0,-85.3,B,measured,NERC,2021-05-12,
50120,34.3,-88.8,B,measured,NERC,2021-05-12,
50121,35.0,-90.1,B,measured,NERC,2021-05-12,
50123,28.9,-82.4,B,measured,NERC,2021-05-12,
