site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region,automated_error
10336,44.8,-91.5,GIC,measured,NERC,2021-05-12,,1.0779706740382995,0.0326069461229064,53.54463269360508,-22.671397974169523,0.4723086823057677,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.1191 A) > 1/4 * std after (0.4720 A);
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-13 03:00:00"
10338,44.8,-91.5,GIC,measured,NERC,2021-05-12,,1.0779706740382995,0.0326069461229064,53.54463269360508,-22.671397974169523,0.4723086823057677,,MISO,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0826 A) > 1/4 * std after (0.2807 A);
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10339,43.7,-95.7,GIC,measured,NERC,2021-05-12,,1.2680504229953962,0.103136523256494,52.16085991570371,-27.456234161678573,0.4028236569217726,,MISO,Central,"All GIC values are negative;
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10340,43.7,-95.7,GIC,measured,NERC,2021-05-12,,1.2680504229953962,0.103136523256494,52.16085991570371,-27.456234161678573,0.4028236569217726,,MISO,Central,"All GIC values are positive;
Low signal: all GIC values within +/- 4 A;
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10341,45.0,-93.5,GIC,measured,NERC,2021-05-12,,0.830843512382833,-0.0804807669601032,53.61235663052423,-25.07851196591297,0.4760015033431144,115.0,MISO,Central,"All GIC values are positive;
Low signal: all GIC values within +/- 4 A;
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10342,45.0,-93.5,GIC,measured,NERC,2021-05-12,,0.830843512382833,-0.0804807669601032,53.61235663052423,-25.07851196591297,0.4760015033431144,115.0,MISO,Central,"All GIC values are positive;
Low signal: all GIC values within +/- 4 A;
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10343,47.9,-97.1,GIC,measured,NERC,2021-05-12,,1.973718919571009,0.2952853041740031,56.22542537824016,-29.91910962842858,0.6428580375828146,69.0,MISO,Central,"All GIC values are positive;
All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10344,47.9,-97.1,GIC,measured,NERC,2021-05-12,,1.973718919571009,0.2952853041740031,56.22542537824016,-29.91910962842858,0.6428580375828146,69.0,MISO,Central,"All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10345,47.9,-97.1,GIC,measured,NERC,2021-05-12,,1.973718919571009,0.2952853041740031,56.22542537824016,-29.91910962842858,0.6428580375828146,69.0,MISO,Central,"All GIC values are positive;
Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.1640 A) > 1/4 * std after (0.3395 A);
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10347,47.9,-97.1,GIC,measured,NERC,2021-05-12,,1.973718919571009,0.2952853041740031,56.22542537824016,-29.91910962842858,0.6428580375828146,69.0,MISO,Central,"All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Cadence is >= 60 seconds (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600.0 seconds);
Data gap detected >= 10.0 minutes (3600 seconds) due to NaN values;
Data is constant for at least 5 minutes starting at time 2021-05-12 09:00:00"
